block_id,source_text,target_text,notes
1-11,11. Katamā tasmiṃ samaye cittassekaggatā hoti? Yā tasmiṃ samaye cittassa ṭhiti saṇṭhiti avaṭṭhiti avisāhāro avikkhepo avisāhaṭamānasatā samatho samādhindriyaṃ samādhibalaṃ sammāsamādhi – ayaṃ tasmiṃ samaye cittassekaggatā hoti.,"What on that occasion is self-collectedness ( cittass’ ekaggatā )?
The stability, solidity, absorbed steadfastness of thought which on that occasion is the absence of distraction, balance, unperturbed mental procedure, quiet, the faculty and the power of concentration, right concentration—this is the self-collectedness that there then is.",
1-12,12. Katamaṃ tasmiṃ samaye saddhindriyaṃ hoti? Yā tasmiṃ samaye saddhā saddahanā okappanā abhippasādo saddhā saddhindriyaṃ saddhābalaṃ – idaṃ tasmiṃ samaye saddhindriyaṃ hoti.,"What on that occasion is the faculty of faith ( saddhindriyaṃ )?
The faith which on that occasion is a trusting in, the professing confidence in, the sense of assurance, faith, faith as a faculty and as a power—this is the faith that there then is.",
1-13,13. Katamaṃ tasmiṃ samaye vīriyindriyaṃ hoti? Yo tasmiṃ samaye cetasiko vīriyārambho [viriyārambho (sī. syā.)] nikkamo parakkamo uyyāmo vāyāmo ussāho ussoḷhī [ussoḷhi (sī.)] thāmo dhiti asithilaparakkamatā anikkhittachandatā anikkhittadhuratā dhurasampaggāho vīriyaṃ vīriyindriyaṃ vīriyabalaṃ sammāvāyāmo – idaṃ tasmiṃ samaye vīriyindriyaṃ hoti.,"What on that occasion is the faculty of energy ( viriyindriyaṃ )?
The mental inception of energy which there is on that occasion, the striving and the onward effort, the exertion and endeavour, the zeal and ardour, the vigour and fortitude, the state of unfaltering effort, the state of sustained desire, the state of unflinching endurance and solid grip of the burden, energy, energy as faculty and as power, right endeavour—this is the energy that there then is.",
1-14,14. Katamaṃ tasmiṃ samaye satindriyaṃ hoti? Yā tasmiṃ samaye sati anussati paṭissati sati saraṇatā dhāraṇatā apilāpanatā asammussanatā sati satindriyaṃ satibalaṃ sammāsati – idaṃ tasmiṃ samaye satindriyaṃ hoti.,"What on that occasion is the faculty of mindfulness ( satindriyaṃ )?
The mindfulness which on that occasion is recollecting, calling back to mind; the mindfulness which is remembering, bearing in mind, the opposite of superficiality and of obliviousness; mindfulness as faculty, mindfulness as power, right mindfulness—this is the faculty of mindfulness that there then is.",
1-15,15. Katamaṃ tasmiṃ samaye samādhindriyaṃ hoti? Yā tasmiṃ samaye cittassa ṭhiti saṇṭhiti avaṭṭhiti avisāhāro avikkhepo avisāhaṭamānasatā samatho samādhindriyaṃ samādhibalaṃ sammāsamādhi – idaṃ tasmiṃ samaye samādhindriyaṃ hoti.,"What on that occasion is the faculty of concentration ( samādhindriyaṃ )?
Answer as for “self-collectedness”, § 11 .",
1-16,16. Katamaṃ tasmiṃ samaye paññindriyaṃ hoti? Yā tasmiṃ samaye paññā pajānanā vicayo pavicayo dhammavicayo sallakkhaṇā upalakkhaṇā paccupalakkhaṇā paṇḍiccaṃ kosallaṃ nepuññaṃ vebhabyā cintā upaparikkhā bhūrī medhā pariṇāyikā vipassanā sampajaññaṃ patodo paññā paññindriyaṃ paññābalaṃ paññāsatthaṃ paññāpāsādo paññāāloko paññāobhāso paññāpajjoto paññāratanaṃ amoho dhammavicayo sammādiṭṭhi – idaṃ tasmiṃ samaye paññindriyaṃ hoti.,"What on that occasion is the faculty of insight ( paññindriyaṃ )?
The insight which there is on that occasion is understanding, search, research, searching the Doctrine, discernment, discrimination, differentiation, erudition, proficiency, subtlety, criticism, reflection, analysis, breadth, sagacity, a “guide”, intuition, intelligence, a “goad”; wisdom as faculty, wisdom as power, wisdom as a sword, wisdom as a height, wisdom as light, wisdom as glory, wisdom as splendour, wisdom as a precious stone; the absence of dullness, searching the Truth, right views—this is the wisdom that there then is.",
1-17,17. Katamaṃ tasmiṃ samaye manindriyaṃ hoti? Yaṃ tasmiṃ samaye cittaṃ mano mānasaṃ hadayaṃ paṇḍaraṃ mano manāyatanaṃ manindriyaṃ viññāṇaṃ viññāṇakkhandho tajjāmanoviññāṇadhātu – idaṃ tasmiṃ samaye manindriyaṃ hoti.,"What on that occasion is the faculty of mind (representative imagination, manindriyaṃ )?
Answer as for “thought” ( cittaṃ ), § 6 .",
1-18,18. Katamaṃ tasmiṃ samaye somanassindriyaṃ hoti? Yaṃ tasmiṃ samaye cetasikaṃ sātaṃ cetasikaṃ sukhaṃ cetosamphassajaṃ sātaṃ sukhaṃ vedayitaṃ cetosamphassajā sātā sukhā vedanā – idaṃ tasmiṃ samaye somanassindriyaṃ hoti.,"What on that occasion is the faculty of pleasure ( somanassin-driyaṃ )?
Answer as for “ease” ( sukhaṃ ), § 10 .",
1-19,19. Katamaṃ tasmiṃ samaye jīvitindriyaṃ hoti? Yo tesaṃ arūpīnaṃ dhammānaṃ āyu ṭhiti yapanā yāpanā iriyanā [irīyanā (sī.)] vattanā pālanā jīvitaṃ jīvitindriyaṃ – idaṃ tasmiṃ samaye jīvitindriyaṃ hoti.,"What on that occasion is the faculty of life ( jīvitindriyaṃ )?
The persistence of these incorporeal states, their subsistence, going on, their being kept going on, their progress, continuance, preservation, life, life as faculty—this is the faculty of life that there then is.",
1-20,20. Katamā tasmiṃ samaye sammādiṭṭhi hoti? Yā tasmiṃ samaye paññā pajānanā vicayo pavicayo dhammavicayo sallakkhaṇā upalakkhaṇā paccupalakkhaṇā paṇḍiccaṃ kosallaṃ nepuññaṃ vebhabyā cintā upaparikkhā bhūrī medhā pariṇāyikā vipassanā sampajaññaṃ patodo paññā paññindriyaṃ paññābalaṃ paññāsatthaṃ paññāpāsādo paññāāloko paññāobhāso paññāpajjoto paññāratanaṃ amoho dhammavicayo sammādiṭṭhi – ayaṃ tasmiṃ samaye sammādiṭṭhi hoti.,"What on that occasion are right views ( sammā-diṭṭhi )?
Answer as for the “faculty of insight”, § 16 .",
1-21,21. Katamo tasmiṃ samaye sammāsaṅkappo hoti? Yo tasmiṃ samaye takko vitakko saṅkappo appanā byappanā cetaso abhiniropanā sammāsaṅkappo – ayaṃ tasmiṃ samaye sammāsaṅkappo hoti.,"What on that occasion is right intention ( sammā-sankappo )?
Answer as for “application of mind”, § 7 .",
1-22,22. Katamo tasmiṃ samaye sammāvāyāmo hoti? Yo tasmiṃ samaye cetasiko vīriyārambho nikkamo parakkamo uyyāmo vāyāmo ussāho ussoḷhī thāmo dhiti asithilaparakkamatā anikkhittachandatā anikkhittadhuratā dhurasampaggāho vīriyaṃ vīriyindriyaṃ vīriyabalaṃ sammāvāyāmo – ayaṃ tasmiṃ samaye sammāvāyāmo hoti.,"What on that occasion is right endeavour ( sammā-vāyāmo )?
Answer as for the “faculty of energy”, § 13 .",
1-23,23. Katamā tasmiṃ samaye sammāsati hoti? Yā tasmiṃ samaye sati anussati paṭissati sati saraṇatā dhāraṇatā apilāpanatā asammussanatā sati satindriyaṃ satibalaṃ sammāsati – ayaṃ tasmiṃ samaye sammāsati hoti.,"What on that occasion is right mindfulness ( sammāsati )?
Answer as for the “faculty of mindfulness”, § 14 .",
1-24,24. Katamo tasmiṃ samaye sammāsamādhi hoti? Yā tasmiṃ samaye cittassa ṭhiti saṇṭhiti avaṭṭhiti avisāhāro avikkhepo avisāhaṭamānasatā samatho samādhindriyaṃ samādhibalaṃ sammāsamādhi – ayaṃ tasmiṃ samaye sammāsamādhi hoti.,"What on that occasion is right concentration ( sammā-samādhi )?
Answer as for “self-collectedness”, § 11 .",
1-25,25. Katamaṃ tasmiṃ samaye saddhābalaṃ hoti? Yā tasmiṃ samaye saddhā saddahanā okappanā abhippasādo saddhā saddhindriyaṃ saddhābalaṃ – idaṃ tasmiṃ samaye saddhābalaṃ hoti.,"What on that occasion is the power of faith ( saddhābalaṃ )?
Answer as for the “faculty of faith”, § 12 .",
1-26,26. Katamaṃ tasmiṃ samaye vīriyabalaṃ hoti? Yo tasmiṃ samaye cetasiko vīriyārambho nikkamo parakkamo uyyāmo vāyāmo ussāho ussoḷhī thāmo dhiti asithilaparakkamatā anikkhittachandatā anikkhittadhuratā dhurasampaggāho vīriyaṃ vīriyindriyaṃ vīriyabalaṃ sammāvāyāmo – idaṃ tasmiṃ samaye vīriyabalaṃ hoti.,"What on that occasion is the power of energy ( viriyabalaṃ )?
Answer as for the “faculty of energy”, § 13 .",
1-27,27. Katamaṃ tasmiṃ samaye satibalaṃ hoti? Yā tasmiṃ samaye sati anussati paṭissati sati saraṇatā dhāraṇatā apilāpanatā asammussanatā sati satindriyaṃ satibalaṃ sammāsati – idaṃ tasmiṃ samaye satibalaṃ hoti.,"What on that occasion is the power of mindfulness ( sati-balaṃ )?
Answer as for the “faculty of mindfulness”, § 14 .",
1-28,28. Katamaṃ tasmiṃ samaye samādhibalaṃ hoti? Yā tasmiṃ samaye cittassa ṭhiti saṇṭhiti avaṭṭhiti avisāhāro avikkhepo avisāhaṭamānasatā samatho samādhindriyaṃ samādhibalaṃ sammāsamādhi – idaṃ tasmiṃ samaye samādhibalaṃ hoti.,"What on that occasion is the power of concentration ( samādhi-balaṃ )?
Answer as for “self-collectedness”, § 11 .",
1-29,29. Katamaṃ tasmiṃ samaye paññābalaṃ hoti? Yā tasmiṃ samaye paññā pajānanā vicayo pavicayo dhammavicayo sallakkhaṇā upalakkhaṇā paccupalakkhaṇā paṇḍiccaṃ kosallaṃ nepuññaṃ vebhabyā cintā upaparikkhā bhūrī medhā pariṇāyikā vipassanā sampajaññaṃ patodo paññā paññindriyaṃ paññābalaṃ paññāsatthaṃ paññāpāsādo paññāāloko paññāobhāso paññāpajjoto paññāratanaṃ amoho dhammavicayo sammādiṭṭhi – idaṃ tasmiṃ samaye paññābalaṃ hoti.,"What on that occasion is the power of insight ( paññābalaṃ )?
Answer as for the “faculty of wisdom”, § 16 .",
1-30,30. Katamaṃ tasmiṃ samaye hiribalaṃ hoti? Yaṃ tasmiṃ samaye hirīyati hiriyitabbena hirīyati pāpakānaṃ akusalānaṃ dhammānaṃ samāpattiyā – idaṃ tasmiṃ samaye hiribalaṃ hoti.,"What on that occasion is the power of conscientiousness ( hiribalaṃ )?
The feeling of conscientious scruple which there is on that occasion when scruples ought to be felt, conscientious scruple at attaining to bad and evil states—this is the power of conscientiousness that there then is.",
1-31,31. Katamaṃ tasmiṃ samaye ottappabalaṃ hoti? Yaṃ tasmiṃ samaye ottappati ottappitabbena ottappati pāpakānaṃ akusalānaṃ dhammānaṃ samāpattiyā – idaṃ tasmiṃ samaye ottappabalaṃ hoti.,"What on that occasion is the power of the fear of blame ( ottappabalaṃ )?
The sense of guilt which there is on that occasion, where a sense of guilt ought to be felt, a sense of guilt at attaining to bad and evil states—this is the fear of blame that there then is.",
1-32,32. Katamo tasmiṃ samaye alobho hoti? Yo tasmiṃ samaye alobho alubbhanā alubbhitattaṃ asārāgo asārajjanā asārajjitattaṃ anabhijjhā alobho kusalamūlaṃ – ayaṃ tasmiṃ samaye alobho hoti.,"What on that occasion is disinterestedness ( alobho )?
The absence of greed, of being greedy, of greediness, which there is on that occasion, the absence of infatuation, the feeling and being infatuated, the absence of covetousness, that absence of greed which is the root of good—this is the absence of greed that there then is.",
1-33,33. Katamo tasmiṃ samaye adoso hoti? Yo tasmiṃ samaye adoso adussanā adussitattaṃ [adūsanā adūsitattaṃ (syā.)] abyāpādo abyāpajjo adoso kusalamūlaṃ – ayaṃ tasmiṃ samaye adoso hoti?,"What on that occasion is the absence of hate ( adoso )?
The absence of hate, of hating, of hatred, which there is on that occasion, the absence of malice, of spleen, the absence of hate, which is the root of good—this is the absence of hate that there then is.",
1-34,34. Katamo tasmiṃ samaye amoho hoti? Yā tasmiṃ samaye paññā pajānanā vicayo pavicayo dhammavicayo sallakkhaṇā upalakkhaṇā paccupalakkhaṇā paṇḍiccaṃ kosallaṃ nepuññaṃ vebhabyā cintā upaparikkhā bhūrī medhā pariṇāyikā vipassanā sampajaññaṃ patodo paññā paññindriyaṃ paññābalaṃ paññāsatthaṃ paññāpāsādo paññāāloko paññāobhāso paññāpajjoto paññāratanaṃ amoho dhammavicayo sammādiṭṭhi amoho kusalamūlaṃ – ayaṃ tasmiṃ samaye amoho hoti.,"What on that occasion is the absence of dullness ( amoho )?
Answer as for the “faculty of insight”, § 16 .",
1-35,35. Katamā tasmiṃ samaye anabhijjhā hoti? Yo tasmiṃ samaye alobho alubbhanā alubbhitattaṃ asārāgo asārajjanā asārajjitattaṃ anabhijjhā alobho kusalamūlaṃ – ayaṃ tasmiṃ samaye anabhijjhā hoti.,"What on that occasion is the absence of covetousness ( anabh-ijjhā )?
Answer as for “disinterestedness”, § 32 .",
1-36,36. Katamo tasmiṃ samaye abyāpādo hoti? Yo tasmiṃ samaye adoso adussanā adussitattaṃ abyāpādo abyāpajjo adoso kusalamūlaṃ – ayaṃ tasmiṃ samaye abyāpādo hoti.,"What on that occasion is the absence of malice ( avyāpādo )?
Answer as for the “absence of hate”, § 33 .",
1-37,37. Katamā tasmiṃ samaye sammādiṭṭhi hoti? Yā tasmiṃ samaye paññā pajānanā vicayo pavicayo dhammavicayo sallakkhaṇā upalakkhaṇā paccupalakkhaṇā paṇḍiccaṃ kosallaṃ nepuññaṃ vebhabyā cintā upaparikkhā bhūrī medhā pariṇāyikā vipassanā sampajaññaṃ patodo paññā paññindriyaṃ paññābalaṃ paññāsatthaṃ paññāpāsādo paññāāloko paññāobhāso paññāpajjoto paññāratanaṃ amoho dhammavicayo sammādiṭṭhi – ayaṃ tasmiṃ samaye sammādiṭṭhi hoti.,"What on that occasion are right views ( sammādiṭṭhi )?
Answer as for the “faculty of insight”, § 16 .",
1-38,38. Katamā tasmiṃ samaye hirī hoti? Yaṃ tasmiṃ samaye hirīyati hiriyitabbena hirīyati pāpakānaṃ akusalānaṃ dhammānaṃ samāpattiyā – ayaṃ tasmiṃ samaye hirī hoti.,"What on that occasion is conscientiousness ( hiri )?
Answer as for the “power of conscientiousness”, § 30 .",
1-39,39. Katamaṃ tasmiṃ samaye ottappaṃ hoti? Yaṃ tasmiṃ samaye ottappati ottappitabbena ottappati pāpakānaṃ akusalānaṃ dhammānaṃ samāpattiyā – idaṃ tasmiṃ samaye ottappaṃ hoti.,"What on that occasion is the fear of blame ( ottappaṃ )?
Answer as for the “power of the fear of blame”, § 31 .",
1-40,40. Katamā tasmiṃ samaye kāyapassaddhi hoti? Yā tasmiṃ samaye vedanākkhandhassa saññākkhandhassa saṅkhārakkhandhassa passaddhi paṭipassaddhi [paṭippassaddhi (sī. syā.)] passambhanā paṭipassambhanā [paṭippassambhanā (sī. syā.)] paṭipassambhitattaṃ [paṭippassambhitattaṃ (sī. syā.)] – ayaṃ tasmiṃ samaye kāyapassaddhi hoti.,"What on that occasion is repose of mental factors ( kāyappassaddhi )?
The serenity, the composure which there is on that occasion, the calming, the tranquillizing, the tranquillity of the skandhas of feeling, perception and synergies—this is the serenity of mental factors that there then is.",
1-41,41. Katamā tasmiṃ samaye cittapassaddhi hoti? Yā tasmiṃ samaye viññāṇakkhandhassa passaddhi paṭipassaddhi passambhanā paṭipassambhanā paṭipassambhitattaṃ – ayaṃ tasmiṃ samaye cittapassaddhi hoti.,"What on that occasion is serenity of mind ( cittapassaddhi )?
The serenity, the composure which there is on that occasion, the calming, the tranquillizing, the tranquillity of the skandha of mind—this is the serenity of mind that there then is.",
1-42,42. Katamā tasmiṃ samaye kāyalahutā hoti? Yā tasmiṃ samaye vedanākkhandhassa saññākkhandhassa saṅkhārakkhandhassa lahutā lahupariṇāmatā adandhanatā avitthanatā – ayaṃ tasmiṃ samaye kāyalahutā hoti.,"What on that occasion is buoyancy of mental factors ( kāyalahutā )?
The buoyancy which there is on that occasion, the alertness in varying, the absence of sluggishness and inertia, in the skandhas of feeling, perception, and synergies—this is the buoyancy of mental factors that there then is.",
1-43,43. Katamā tasmiṃ samaye cittalahutā hoti? Yā tasmiṃ samaye viññāṇakkhandhassa lahutā lahupariṇāmatā adandhanatā avitthanatā – ayaṃ tasmiṃ samaye cittalahutā hoti.,"What on that occasion is buoyancy of mind ( cittalahutā )?
The buoyancy, etc. ( as in § 42 ), in the skandha of consciousness—this is the buoyancy of mind that there then is.",
1-44,44. Katamā tasmiṃ samaye kāyamudutā hoti? Yā tasmiṃ samaye vedanākkhandhassa saññākkhandhassa saṅkhārakkhandhassa mudutā maddavatā akakkhaḷatā akathinatā – ayaṃ tasmiṃ samaye kāyamudutā hoti.,"What on that occasion is pliancy of mental factors ( kāyamudutā )?
The pliancy which there is on that occasion, the suavity, smoothness, absence of rigidity, in the skandhas of feeling, perception, and synergies—this is the pliancy of mental factors that there then is.",
1-45,45. Katamā tasmiṃ samaye cittamudutā hoti? Yā tasmiṃ samaye viññāṇakkhandhassa mudutā maddavatā akakkhaḷatā akathinatā – ayaṃ tasmiṃ samaye cittamudutā hoti.,"What on that occasion is pliancy of mind ( cittamudutā )?
The plasticity which, etc. ( as in § 44 ), in the skandha of consciousness—this is the pliancy of mind that there then is.",
1-46,46. Katamā tasmiṃ samaye kāyakammaññatā hoti? Yā tasmiṃ samaye vedanākkhandhassa saññākkhandhassa saṅkhārakkhandhassa kammaññatā kammaññattaṃ kammaññabhāvo – ayaṃ tasmiṃ samaye kāyakammaññatā hoti.,"What on that occasion is wieldiness of mental factors ( kāyakammaññatā )?
The wieldiness which there is on that occasion, the tractableness, the workableness, of the skandhas of feeling, perception, and synergies—this is the wieldiness of mental factors that there then is.",
1-47,47. Katamā tasmiṃ samaye cittakammaññatā hoti? Yā tasmiṃ samaye viññāṇakkhandhassa kammaññatā kammaññattaṃ kammaññabhāvo – ayaṃ tasmiṃ samaye cittakammaññatā hoti.,"What on that occasion is wieldiness of mind ( cittakammaññatā )?
The wieldiness, etc. ( as in § 46 ), of the skandha of consciousness—this is the wieldiness of mind that there then is.",
1-48,48. Katamā tasmiṃ samaye kāyapāguññatā hoti? Yā tasmiṃ samaye vedanākkhandhassa saññākkhandhassa saṅkhārakkhandhassa paguṇatā paguṇattaṃ paguṇabhāvo – ayaṃ tasmiṃ samaye kāyapāguññatā hoti.,"What on that occasion is fitness of mental factors ( kayapāguññatā )?
The fitness which there is on that occasion, the competence, the efficient state of the skandhas of feeling, perception, and synergies—this is the fitness of mental factors that there then is.",
1-49,49. Katamā tasmiṃ samaye cittapāguññatā hoti? Yā tasmiṃ samaye viññāṇakkhandhassa paguṇatā paguṇattaṃ paguṇabhāvo – ayaṃ tasmiṃ samaye cittapāguññatā hoti.,"What on that occasion is fitness of mind ( cittapāguññatā )?
The fitness, etc. ( as in § 48 ), of the skandha of consciousness—this is the fitness of mind that there then is.",
1-50,50. Katamā tasmiṃ samaye kāyujukatā hoti? Yā tasmiṃ samaye vedanākkhandhassa saññākkhandhassa saṅkhārakkhandhassa ujutā ujukatā ajimhatā avaṅkatā akuṭilatā – ayaṃ tasmiṃ samaye kāyujukatā hoti.,"What on that occasion is rectitude of mental factors ( kāyujjukatā )?
The straightness which there is on that occasion, the rectitude, without deflection, twist or crookedness, of the skandhas of feeling, perception, and synergies—this is the rectitude of mental factors that there then is.",
1-51,51. Katamā tasmiṃ samaye cittujukatā hoti? Yā tasmiṃ samaye viññāṇakkhandhassa ujutā ujukatā ajimhatā avaṅkatā akuṭilatā – ayaṃ tasmiṃ samaye cittujukatā hoti.,"What on that occasion is rectitude of mind ( cittujjukatā )?
The straightness, etc. ( as in § 50 ), of the skandha of consciousness—this is the rectitude of mind that there then is.",
1-52,52. Katamā tasmiṃ samaye sati hoti? Yā tasmiṃ samaye sati anussati paṭissati sati saraṇatā dhāraṇatā apilāpanatā asammussanatā sati satindriyaṃ satibalaṃ sammāsati – ayaṃ tasmiṃ samaye sati hoti.,"What on that occasion is mindfulness ( sati )?
Answer as for the “faculty of mindfulness”, § 14 .",
