block_id,pali_token,english_rendering,clause_index,method,source_snippet,english_snippet
1-1,rūpārammaṇaṃ,sight_object,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,vā,or,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,saddārammaṇaṃ,sound_object,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,vā,or,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,gandhārammaṇaṃ,smell_object,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,vā,or,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,rasārammaṇaṃ,taste_object,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,vā,or,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,phoṭṭhabbārammaṇaṃ,touch_object,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,vā,or,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,dhammārammaṇaṃ,mental_state_object,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,vā,or,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,yaṃ,what,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,vā,"or_not,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"panārabbha,",at_that,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,tasmiṃ,occasion,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,samaye,contact,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,phasso,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",feeling,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,vedanā,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",perception,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,saññā,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",volition,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,cetanā,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",thought,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,cittaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",application,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,vitakko,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",sustained_thinking,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,vicāro,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",zest,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,pīti,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",ease,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,sukhaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",self-collectedness,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,cittassekaggatā,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",faculty_of_faith,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,saddhindriyaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",faculty_of_energy,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,vīriyindriyaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",faculty_of_mindfulness,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,satindriyaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",faculty_of_concentration,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,samādhindriyaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",faculty_of_insight,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,paññindriyaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",faculty_of_ideation,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,manindriyaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",faculty_of_gladness,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,somanassindriyaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",faculty_of_life,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,jīvitindriyaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",right_views,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,sammādiṭṭhi,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",right_intention,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,sammāsaṅkappo,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",right_endeavour,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,sammāvāyāmo,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",right_mindfulness,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,sammāsati,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",right_concentration,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,sammāsamādhi,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",power_of_faith,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,saddhābalaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",power_of_energy,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,vīriyabalaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",power_of_mindfulness,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,satibalaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",power_of_concentration,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,samādhibalaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",power_of_insight,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,paññābalaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",power_of_conscientiousness,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,hiribalaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",power_of_the_fear_of_blame,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,ottappabalaṃ,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",absence_of_greed,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,alobho,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",absence_of_hate,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,adoso,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",absence_of_dullness,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,amoho,"is,",0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,"hoti,",absence_of_covetousness,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
